title,caracteristicas_pelicula
Maverick,"Maverick is a gambler who would rather con someone than fight them. He needs an additional three thousand dollars in order to enter a Winner Take All poker game that begins in a few days. He tries to win some, tries to collect a few debts, and recover a little loot for the reward. He joins forces with a woman gambler with a marvelous southern accent as the two both try and enter the game. 0 In their hands, a deck of cards was the only thing more dangerous than a gun. 6.6 490.0 Action, Adventure, Comedy, Drama, Western English"
Mrs. Parker and the Vicious Circle,"Dorothy Parker remembers the heyday of the Algonquin Round Table, a circle of friends whose barbed wit, like hers, was fueled by alcohol and flirted with despair. 0 New York in the 1920's. The only place to be was the Algonquin, and the only person to know was Dorothy Parker. 6.3 20.0 Drama English"
The Naked Gun 33⅓: The Final Insult,"Frank Drebin is persuaded out of retirement to go undercover in a state prison. There he is to find out what top terrorist, Rocco, has planned for when he escapes. Frank's wife, Jane, is desperate for a baby.. this adds to Frank's problems. A host of celebrities at the Academy awards ceremony are humiliated by Frank as he blunders his way trying to foil Rocco. 30000000 A Mad Bomber is on the Loose, and If Anyone Can Stop Him....So Can Frank! 6.4 535.0 Comedy, Crime English"
The Paper,"Henry Hackett is the editor of a New York City tabloid. He is a workaholic who loves his job, but the long hours and low pay are leading to discontent. Also, publisher Bernie White faces financial straits, and has hatchetman Alicia Clark, Henry's nemesis, impose unpopular cutbacks. 6000000 A behind-the-lines look at work, marriage and other forms of combat. 6.1 40.0 Comedy, Drama English"
Reality Bites,"A small circle of friends suffering from post-collegiate blues must confront the hard truth about life, love and the pursuit of gainful employment. As they struggle to map out survival guides for the future, the Gen-X quartet soon begins to realize that reality isn't all it's cracked up to be. 11500000 A comedy about love in the '90s 6.5 180.0 Drama English"
Red Rock West,"When a promised job for Texan Michael fails to materialise in Wyoming, Mike is mistaken by Wayne to be the hitman he hired to kill his unfaithful wife, Suzanne. Mike takes full advantage of the situation, collects the money and runs. During his getaway, things go wrong, and soon get worse when he runs into the real hitman, Lyle. 8000000 Where nothing is as it seems. 6.4 71.0 Crime, Drama, Thriller English"
Ri¢hie Ri¢h,"Billionaire heir Richie Rich has it all, including Reggie Jackson as a batting coach and Claudia Schiffer as a personal trainer -- but no playmates. What's more, scoundrel Laurence Van Dough is scheming to take over the family empire. Uh-oh! Enter faithful butler Cadbury to save the day. 40000000 An adventure so big... even the world's richest kid can't afford to miss it! 5.4 426.0 Comedy, Family English, Latin"
Safe Passage,A mother with seven sons feels like she's losing control of her life and her family. But personal... 0 Life's best journeys take you home 4.9 7.0 Drama English
The River Wild,"While on a family vacation,  rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river. 45000000 The vacation is over 6.1 214.0 Action, Adventure, Crime, Thriller English"
Speed,"Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne, who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in LA traffic. And that's still not the end. 30000000 Get ready for rush hour 6.8 1814.0 Action, Adventure, Crime English"
Speechless,"A romantic comedy. Michael Keaton and Geena Davis are speechwriters for competing political campaigns. Witty and amusing for the political junkies amongst us. 0 There are two sides to every relationship... Don't trust either of them. 5.5 24.0 Comedy, Romance English"
Timecop,"An officer for a security agency that regulates time travel, must fend for his life against a shady politician who has a tie to his past. 27000000 They killed his wife ten years ago. There's still time to save her. Murder is forever... until now. 5.5 288.0 Thriller, Science Fiction, Action, Crime English"
True Lies,"Harry Tasker is a secret agent for the United States Government. For years, he has kept his job from his wife, but is forced to reveal his identity and try to stop nuclear terrorists when he and his wife are kidnapped by them. 115000000 When he said I do, he never said what he did. 6.8 1138.0 Action, Thriller English, Français, العربية, Deutsch"
When a Man Loves a Woman,"An airline pilot and his wife are forced to face the consequences of her alcoholism when her addictions threaten her life and their daughter's safety. While the woman enters detox, her husband must face the truth of his enabling behavior. 0 Through the good times. Through the bad times. When a Man Loves a Woman it's for all times. 6.0 71.0 Drama, Romance English, Français, Tiếng Việt"
Wolf,Publisher Will Randall becomes a werewolf and has to fight to keep his job. 0 The animal is out. 6.0 221.0 Fantasy English
Wyatt Earp,"Covering the life and times of one of the West's most iconic heroes Wyatt Earp weaves an intricate tale of Earp and his friends and family. With a star studded cast, sweeping cinematography and authentic costumes Wyatt Earp led the way during the Western revival in the 90's. 63000000 The epic story of love and adventure in a lawless land. 6.5 203.0 Drama, Action, Western English"
Bad Company,"Nelson Crowe is a CIA operative under the thumb of the Company for a disputed delivery of $50,000 in gold. They blackmail him into working for the Grimes Organization, which is set up as a private company for hire, to blackmail prominent individuals. Crowe, working with Margaret Wells (another former Covert Operations operative), blackmails and bribes a State Supreme Court judge, but the deal sours. One of Crowe's co-workers, Tod Stapp, discovers Crowe's current CIA involvement in a plot to overthrow Grimes, and blackmails him to be cut in on the deal. More blackmail occurs as Wells manipulates Crowe to kill Grimes, then the CIA uses that discovery to blackmail Wells into killing Crowe. Who can you trust??? 0 Bribery. Blackmail. Murder. Specialities of the house. 4.9 12.0 Action, Crime, Romance, Thriller English"
A Man of No Importance,"Alfie Byrne is a middle-aged bus conductor in Dublin in 1963. He would appear to live a life of quiet desperation: he's gay, but firmly closeted, and his sister is always trying to find him ""the right girl"". His passion is Oscar Wilde, his hobby is putting on amateur theatre productions in the local church hall. We follow him as he struggles with temptation, friendship, disapproval, and the conservative yet oddly lyrical world of Ireland in the early 1960s. 0 An extraordinary tale of an ordinary hero. 6.5 2.0 Comedy, Drama English"
S.F.W.,"An alienated and misanthropic teenager gains sudden and unwanted celebrity status after he's taken hostage by terrorists where his indifference to their threats to kill him makes news headlines. 0 Fate made them hostages. The media made them stars. 6.1 22.0 Comedy, Drama English"
A Low Down Dirty Shame,"A black detective becomes embroiled in a web of danger while searching for a fortune in missing drug money. During the course of his investigation, he encounters various old connections, ultimately confronting the criminal responsible for Shame's expulsion from the force. He must also deal with two women, Angela, a beautiful old flame, and Peaches, his energetic but annoying sidekick. 10000000 He's armed and dangerously funny. 6.0 31.0 Action, Comedy, Crime English"
